"","date","year","mse","ccumCPUE.x","cum_RUN","ccpuef","pr","mid.run","est.total.run","remaining.run","ontime","timing","kenai.propleft","kasilof.propleft","acumRun_ke","remaining.ke","remaining.ka","run.ke"
"52",2022-07-23,2021,0.000446821114877774,2041.214634,4096774.387,7243.28948933055,2007.02773670199,2022-07-29,14537482.9100484,10440709,2022-07-17,12,0.637818028917091,0.114322353313393,1697341,6659272.43487693,1193606.42314032,8356613.43487693
"53",2022-07-23,1994,0.000509487311307199,2041.214634,4096774.387,3668.6792946338,2007.02773670199,2022-07-19,7363141.10139434,3266367,2022-07-17,2,0.637818028917091,0.114322353313393,1697341,2083347.76165983,373418.762225207,3780688.76165983
"54",2022-07-23,2019,0.000530656865806988,2041.214634,4096774.387,3847.04417894898,2007.02773670199,2022-07-21,7721124.37146853,3624350,2022-07-17,4,0.637818028917091,0.114322353313393,1697341,2311675.77310566,414344.221231395,4009016.77310566
"55",2022-07-23,2005,0.000629724828007191,2041.214634,4096774.387,3908.70475139638,2007.02773670199,2022-07-21,7844878.8506314,3748104,2022-07-17,4,0.637818028917091,0.114322353313393,1697341,2390608.30545626,428492.069743341,4087949.30545626
"56",2022-07-24,2006,0.000542133668915401,2083.514634,4206652.709,4768.82906993194,2019.01759668658,2022-07-24,9628349.80778308,5421697,2022-07-17,7,0.647067045943414,0.114129407333121,1853753,3508201.46179027,618775.06534976,5361954.46179027
"57",2022-07-24,1994,0.00062515100249892,2083.514634,4206652.709,3620.31979961242,2019.01759668658,2022-07-19,7309489.38105031,3102837,2022-07-17,2,0.647067045943414,0.114129407333121,1853753,2007743.57163392,354124.947861279,3861496.57163392
"58",2022-07-24,1983,0.000642683548293687,2083.514634,4206652.709,2582.26396416336,2019.01759668658,2022-07-15,5213636.38293547,1006984,2022-07-17,-2,0.647067045943414,0.114129407333121,1853753,651586.162192283,114926.487113936,2505339.16219228
"59",2022-07-24,2005,0.000682497735197927,2083.514634,4206652.709,3866.89517420341,2019.01759668658,2022-07-21,7807329.40125909,3600677,2022-07-17,4,0.647067045943414,0.114129407333121,1853753,2329879.42978639,410943.132008,4183632.42978639
"60",2022-07-24,2021,0.000692932416719287,2083.514634,4206652.709,6987.03873897723,2019.01759668658,2022-07-29,14106954.1627258,9900301,2022-07-17,12,0.647067045943414,0.114129407333121,1853753,6406158.52202063,1129915.48554951,8259911.52202063
"61",2022-07-25,1983,0.000669578022579752,2102.414634,4236258.826,2568.66470167743,2014.94926713871,2022-07-15,5175729.05817001,939470,2022-07-17,-2,0.65966029759165,0.113473306673765,1966182,619731.059778427,106604.767420802,2585913.05977843
"62",2022-07-25,2014,0.000767952979791209,2102.414634,4236258.826,2668.5856568233,2014.94926713871,2022-07-16,5377064.71351299,1140806,2022-07-17,-1,0.65966029759165,0.113473306673765,1966182,752544.425454339,129451.029093272,2718726.42545434
"63",2022-07-25,2006,0.000785948945863358,2102.414634,4236258.826,4666.32838636777,2014.94926713871,2022-07-24,9402414.9623403,5166156,2022-07-17,7,0.65966029759165,0.113473306673765,1966182,3407908.00436489,586220.804112513,5374090.00436489
"64",2022-07-25,2016,0.0007862592304858,2102.414634,4236258.826,2932.66574991763,2014.94926713871,2022-07-18,5909172.70355933,1672914,2022-07-17,1,0.65966029759165,0.113473306673765,1966182,1103554.94708524,189831.083360835,3069736.94708524
"65",2022-07-25,1995,0.000793980806856358,2102.414634,4236258.826,2469.77878056185,2014.94926713871,2022-07-15,4976478.94388783,740220,2022-07-17,-2,0.65966029759165,0.113473306673765,1966182,488293.745483291,83995.2110660546,2454475.74548329
"66",2022-07-27,2003,0.000818869306727213,2130.064634,4350133.509,2349.06631832163,2042.25423001882,2022-07-14,4797390.6251871,447257,2022-07-17,-3,0.675342785771392,0.109809486486087,2119034,302051.788335756,49113.0614973076,2421085.78833576
"67",2022-07-27,1983,0.000824272663755297,2130.064634,4350133.509,2535.73839602518,2042.25423001882,2022-07-15,5178622.46550358,828489,2022-07-17,-2,0.675342785771392,0.109809486486087,2119034,559514.069240955,90975.9516493714,2678548.06924096
"68",2022-07-27,1995,0.000900035159268403,2130.064634,4350133.509,2442.33793949549,2042.25423001882,2022-07-15,4987874.98807013,637741,2022-07-17,-2,0.675342785771392,0.109809486486087,2119034,430693.783540634,70030.0117211233,2549727.78354063
"69",2022-07-27,2014,0.000924882192238804,2130.064634,4350133.509,2632.34731621566,2042.25423001882,2022-07-16,5375922.44142013,1025789,2022-07-17,-1,0.675342785771392,0.109809486486087,2119034,692759.200873651,112641.363333076,2811793.20087365
"70",2022-07-27,1986,0.00103109070362505,2130.064634,4350133.509,2541.34678193088,2042.25423001882,2022-07-16,5190076.21534306,839943,2022-07-17,-1,0.675342785771392,0.109809486486087,2119034,567249.445509181,92233.709507583,2686283.44550918
"71",2022-07-28,2003,0.000801498411804221,2169.264634,4457122.475,2344.77582381668,2054.66977386771,2022-07-14,4817740.01169188,360618,2022-07-17,-3,0.673278465013778,0.11158408621099,2177931,242796.333496339,40239.2300012348,2420727.33349634
"72",2022-07-28,1983,0.000893700813375813,2169.264634,4457122.475,2521.36797831736,2054.66977386771,2022-07-15,5180578.57384662,723456,2022-07-17,-2,0.673278465013778,0.11158408621099,2177931,487087.345185008,80726.176673858,2665018.34518501
"73",2022-07-28,1995,0.000936437993292923,2169.264634,4457122.475,2431.2249939079,2054.66977386771,2022-07-15,4995364.50845427,538242,2022-07-17,-2,0.673278465013778,0.11158408621099,2177931,362386.747565946,60059.2417303757,2540317.74756595
"74",2022-07-28,2014,0.0010086278661762,2169.264634,4457122.475,2615.5288679511,2054.66977386771,2022-07-16,5374048.10765756,916926,2022-07-17,-1,0.673278465013778,0.11158408621099,2177931,617346.529811223,102314.349833098,2795277.52981122
